id;name;description;create_date;update_date;expire_date
1;dimly angrily daily;daily after;2025-05-05;2025-05-05;2025-05-05
2;preheat;pish times enlist;2025-05-05;2025-05-05;2025-05-05
3;pigsty resolve pleasing;posh proliferate rosy;2025-05-05;2025-05-06;2025-05-05
4;phew via;so crossly;2025-05-05;2025-05-05;2025-05-06
5;interior;beyond roughly vision;2025-05-05;2025-05-06;2025-05-06
6;barring eternity if;boo velocity;2025-05-05;2025-05-06;2025-05-05
7;miserable;unless verve;2025-05-06;2025-05-06;2025-05-05
8;sedately;yowza;2025-05-06;2025-05-06;2025-05-05
9;rationale;black;2025-05-06;2025-05-06;2025-05-06
10;after stump afraid;gah across excitable;2025-05-05;2025-05-05;2025-05-05
