id;client_logo;name;code;main_contact_name;main_contact_email;current_card_holder_number;current_brunche_number;current_customers_number;main_contact_phone_number;url;address;create_date;update_date;notes
1;../fake-data/blob/hipster.txt;suitcase gadzooks;appropriate wonderful procrastinate;fooey brr because;"1GC@tm\M>I.<o";19415;16316;26784;pfft croon;https://vague-dividend.com;wilt;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.txt;known;uh-huh than after;before fatally phrase;"3w7L@JMB;.p,|lP";22650;3497;5904;busy;https://elementary-digit.org;ample phooey incline;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.txt;how;primary access where;dash;".B`@s;AP.P<";4661;2653;26018;geez;https://granular-pillbox.biz;receptor till;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.txt;physically readily window;sham ha moist;across;"U)Af@`,.5s-|Y";17001;2896;29284;but;https://blond-venom.biz;consequently;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.txt;stigmatize vision;supposing;wisecrack abaft in;"D8Iu(9@&.sQ!Mj";10251;15677;21089;flickering but inveigle;https://distant-season.com;characterization bravely deafening;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.txt;inasmuch misspend;forgo;as;"\@-ji3oh.-:c";7918;5490;6688;brace;https://profuse-swanling.name;gee bah;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.txt;nor gleefully reborn;peppery;swill madly warlike;"98dv0@y.>k*S~";6353;22814;26279;personal but;https://vivid-decongestant.info/;insert;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.txt;by dissemble insecure;not display;toward;"5Tg%@yh?u8'.>Fd";32007;8366;27407;pish meh;https://digital-procurement.biz/;tinderbox gah;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.txt;where mob around;digital actually;scram;"^@{(CQ-.f#";28032;30374;18566;oof;https://dramatic-devil.org;aw ditch completion;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.txt;even diligently lumpy;against than after;consistency;"CB@nARoO+.af{";10133;28546;24845;yippee;https://jaunty-hunger.info/;puzzled pish;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
