id;certification;certification_date;create_date;update_date;notes
1;fortunately firsthand;2025-05-05;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
2;against cannibalise;2025-05-06;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
3;when;2025-05-05;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;impure handful;2025-05-05;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;vainly;2025-05-05;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
6;grouchy dislocate whenever;2025-05-06;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
7;downright about;2025-05-05;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
8;sedately so bah;2025-05-05;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
9;redound ironclad;2025-05-06;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
10;boohoo camouflage materialise;2025-05-05;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
