id;type;description;create_date;update_date
1;empty yuck;before every;2025-05-06;2025-05-06
2;case;whether bony at;2025-05-05;2025-05-05
3;oh;ha after maintainer;2025-05-06;2025-05-05
4;roundabout inasmuch;climb against monthly;2025-05-05;2025-05-06
5;whoa considering;realistic knottily;2025-05-06;2025-05-06
6;brr clearly whether;afore hydrocarbon atop;2025-05-05;2025-05-05
7;so;separately;2025-05-05;2025-05-06
8;furthermore;internalise jubilantly;2025-05-05;2025-05-05
9;fowl because;until juvenile;2025-05-06;2025-05-05
10;which;forenenst flimsy gosh;2025-05-05;2025-05-05
