id;size_name;size_code;size_description;create_date;update_date;notes
1;truthfully nearly geez;without heartbeat;qua;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
2;while;mathematics;mobilize injunction lend;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;eek;yippee;in clean growing;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;shady iridescence amend;down;because ew;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;yahoo failing sleepy;gratefully below immense;enchanting drat derby;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
6;packaging decouple buzzing;extension smarten;reckless than;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
7;aw;duh jungle;digestive why next;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
8;arid;or sans clamour;unabashedly optimal;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
9;vaguely weakly because;until mom;nervous boo quickly;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
10;barring;baptise sneaky plus;whoa sardonic;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
