id;type;create_date;update_date;notes
1;at;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
2;abnormally;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
3;when;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
4;come;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
5;humor whether how;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;memorable inasmuch;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
7;outflank;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
8;weatherize;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
9;nervously;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
10;afterwards;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
