id;countryname;countrycode;country_flagcode;country_flag;notes;crea_date;update_date
1;exactly upon trench;unrealistic ugh tune-up;sunbeam snuggle;singing;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
2;gah upliftingly except;cantaloupe;near hole lazily;always lox custody;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
3;tall;carboxyl;phrase or;starch pillbox very;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
4;brr;pleased before gee;weary as;soulful especially but;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
5;remark deduction;now serpentine an;indeed absent aged;ugly whether internalise;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
6;purse excluding hoof;elegantly;now crushing;likewise cardboard;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
7;fat formal;cauliflower;geez uh-huh intently;unto;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
8;among truly;clinch enlightened which;behind great;table trick;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
9;confute yet thoroughly;yuck;circulate collaboration defenseless;flight;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
10;guidance;overconfidently incomparable;reorient;skean going barring;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
