id;level;create_date;update_date;notes
1;hunger;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
2;oddly;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;zowie around;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
4;through woot;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;inhibit toady;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;per frantically superficial;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
7;instance how cease;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
8;hourly interestingly who;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
9;hoot;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
10;make creative;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
