id;type;create_date;update_date;notes
1;foolishly electronics an;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
2;casement beyond;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
3;bad exploration;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
4;where;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
5;angle near;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
6;flawless impeccable circa;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
7;than inquisitively good;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
8;gee up;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
9;wetly;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
10;greatly;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
