id;name;create_date;update_date;notes
1;oof huff;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
2;where;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;neighboring creator;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;whether gad flood;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
5;wolf;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
6;behind;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
7;hmph flashy;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
8;yuck inasmuch willfully;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
9;unpleasant;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
10;vice darling;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
