id;name;api_version;description;create_date;update_date
1;save;agile unless whoever;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
2;whenever per;amnesty inside;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
3;oh;hmph oof;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
4;until yet;yahoo zowie meatloaf;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
5;mean;well fooey um;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
6;unfurl quicker oh;until huzzah analogy;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
7;helpful;edge;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
8;joyously;hmph sharply;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
9;eyeglasses ha;indeed yieldingly;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
10;if hole;maroon;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
