id;code;create_date;update_date;notes
1;coincide;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
2;these prioritize;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;cop-out oof;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;while;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
5;however pulverize;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
6;ick;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
7;graffiti astride;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
8;excluding;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
9;gah;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
10;writ pfft scuttle;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
