id;name;create_date;update_date;notes
1;nice etch;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
2;noisily;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;atrium well-off crooked;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;tremendously how;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;cooperative;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;paltry vacantly;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
7;row;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
8;well-documented on almost;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
9;why;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
10;onto alongside alongside;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
