id;name;vendor;notes;create_date
1;instead when;reorganisation carboxyl;../fake-data/blob/hipster.txt;2025-05-05
2;haul;opera frankly;../fake-data/blob/hipster.txt;2025-05-06
3;although;old-fashioned stale;../fake-data/blob/hipster.txt;2025-05-05
4;aw;expansion talkative trustworthy;../fake-data/blob/hipster.txt;2025-05-06
5;politely formation;subdued usually;../fake-data/blob/hipster.txt;2025-05-05
6;the finally;fussy;../fake-data/blob/hipster.txt;2025-05-06
7;aha subtract up;regarding fatherly before;../fake-data/blob/hipster.txt;2025-05-05
8;ah finally;across;../fake-data/blob/hipster.txt;2025-05-05
9;unfortunately since;gladly rural supposing;../fake-data/blob/hipster.txt;2025-05-06
10;lest;yowza;../fake-data/blob/hipster.txt;2025-05-06
