id;name;description;create_date;update_date
1;till clamp;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
2;experience;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
3;minor deploy meh;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
4;and purse stall;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
5;freely;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
6;mismatch tightly;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
7;nicely informal;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
8;hungrily;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
9;um;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
10;ick boohoo ick;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
