id;code;notes;create_date;update_date
1;about properly;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
2;swiftly;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
3;cone whup aha;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
4;operating gah mid;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
5;with;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
6;hastily;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
7;while;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
8;about till;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
9;whitewash peter;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
10;skyline an ski;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
