id;version;create_date;update_date;notes
1;perfectly uh-huh opposite;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
2;hm;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
3;platypus;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;delirious gleefully;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
5;knottily;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;formamide an;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
7;out before;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
8;furthermore until briefly;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
9;until finally safely;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
10;since;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
