id;name;logo;description;create_date;update_date
1;consequently;aw subexpression;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
2;councilman chime;ferociously;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
3;for customise;as purse;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
4;dental orange;inasmuch cooperative;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
5;maroon;upon;../fake-data/blob/hipster.txt;2025-05-06;2025-05-05
6;unwritten;strictly scarcely carefully;../fake-data/blob/hipster.txt;2025-05-06;2025-05-06
7;vestment;gee barring;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
8;excited crystallize what;incandescence gah micromanage;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
9;seemingly;sweet urgently gadzooks;../fake-data/blob/hipster.txt;2025-05-05;2025-05-05
10;gah;lyre outside what;../fake-data/blob/hipster.txt;2025-05-05;2025-05-06
