id;ref_contract;create_date;update_date;notes
1;bah;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
2;made-up season disapprove;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;safely sniff;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;without er;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;colorfully perspire acclaimed;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;yippee where;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
7;downright zowie;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
8;second-hand;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
9;about quietly fall;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
10;worth sarcastic;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
