id;start_deployement_date;end_deployement_date;notes
1;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
2;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
3;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
4;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
5;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
7;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
8;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
9;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
10;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
