id;name;create_date;update_date;notes
1;thoroughly geez legend;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
2;whereas;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
3;ugh rudely;2025-05-06;2025-05-05;../fake-data/blob/hipster.txt
4;the enthusiastically;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
5;loftily rag;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;once assured bashfully;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
7;duh flawed;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
8;angle neighboring chow;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
9;husky ew;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
10;unaccountably insignificant digit;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
