id;name;code;crea_date;update_date;notes
1;till;institutionalize on;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
2;unsteady;vain;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
3;muted dissemble;yowza makeover probate;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
4;ah;sauerkraut exacerbate gratefully;2025-05-05;2025-05-06;../fake-data/blob/hipster.txt
5;tarry;yum mediocre;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
6;cap drug cash;eek annex nor;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
7;bouncy for which;aside yuck obedience;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
8;before;cop-out oddly;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
9;the abacus;unto whoever;2025-05-05;2025-05-05;../fake-data/blob/hipster.txt
10;sonar;greedy yearly;2025-05-06;2025-05-06;../fake-data/blob/hipster.txt
